,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
26,Brand New 5 Marla House Is Available For Sale In Sector B1 Bahria Enclave Islamabad,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   1.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",3,5 Marla,For Sale,3,3 weeks ago,"Beautifully Designed & Constructed House In The Heart Of Bahria Enclave. Best Of Best Material Used In Kitchen and Bath fittings. - 3 Bedrooms- Attached Bathrooms- Drawing Dinning- 1 Store Room- 1 Kitchen- 1 Servant Quater - Car Porch- 24/7 Electricity- 24/7 Security- Gated CommunitySize : 5 Marla Demand : 1 Crore, 40 Lac. For More Details Please Feel Free To Contact Us.", ," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Store Rooms: 1"," Broadband Internet Access , Satellite or Cable TV Ready", , , ,super hot,Islamabad-3-2,3/31/2019 23:13
27,Out Standing  Designer Bungalow For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.6 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,4 weeks ago,"Don't miss the chance to buy this stunning 1 Kanal bungalow located in one of the best locations of Defence 2 . It has easy access to GT Road and Islamabad Expressway giving buyers easy access to all surrounding areas. The property comprises of five spacious bedrooms  and  six bathrooms, living space, dining area and kitchen. This amazing property will be ideal for you to raise a family in while taking advantage of the excellent facilities this gated development has to offer. The amenities include schools, hospitals, restaurants and malls. This house features :The overall houses is decorated with branded fittings1 Living rooms1 Stylish kitchens5 Spacious bedrooms6 Luxury bathrooms1 Drawing room1 Dining room 1 Store room: Beautiful Lawn 1 Servant room with attached bathEntrance lobby with stairsIndoor Green TerraceParking space for 4 carsFor more options and visit please contact us."," Built in year: 2019 , Parking Spaces: 4 , Double Glazed Windows , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Store Rooms: 1 , Lounge or Sitting Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms)"," Maintenance Staff , Security Staff",super hot,Islamabad-3-2,3/31/2019 23:13
28,Top Most Architect Designed Bungalow For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   3.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,4 weeks ago,"Don't miss the chance to buy this stunning 1 Kanal bungalow located in one of the best locations of DHA phase-2 Islamabad. It has easy access to GT Road and Islamabad Expressway giving buyers easy access to all surrounding areas. The property comprises of five spacious bedrooms and five bathrooms, living space, dining area and kitchen. This amazing property will be ideal for you to raise a family in while taking advantage of the excellent facilities this gated development has to offer. The amenities include schools, hospitals, restaurants and malls. :Top of the line Finishing materials used such as Spanish tiles, solid wood works, 2x4 feet floor tiles, Fancy Iron Doors, Double Heighted Roofs,This House features :  Beds rooms 5:  Bath rooms 5:  Drawing Room:  Dining Room:  TV Lounge 2:  Huge Car Poroch  For more informations please contact us"," Built in year: 2018 , Parking Spaces: 2 , Flooring , Electricity Backup , Floors: 2"," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",super hot,Islamabad-3-2,3/31/2019 23:13
29,Brand New 10 Marla House Is Available For Sale In Secter C1 Bahria Enclave Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.55 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,For Sale,5,4 weeks ago,"If you are looking for a beautiful 10 Marla House for Sale in , Bahria Enclave - Sector C1, Islamabad, please feel free to call us. We have exactly what you are looking for. The House has 5 beds, fully ready to be occupied. It has 5 baths featuring all the necessary facilities and accessories. The House is available for 2 crore 55 lac PKR (Pakistan). House is located on prime location. Available in Reasonable Price  If you want further details, please call us and mention Zameen. com when calling.", ," Bedrooms: 5 , Bathrooms: 5 , Drawing Room , Dining Room , Lounge or Sitting Room", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service", ,super hot,Islamabad-3-2,3/31/2019 23:13
30,Brand New 5 Marla House Is Available For Sale In Sector B1 Bahria Enclave Islamabad,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   1.35 Crore,"Bahria Town, Islamabad, Islamabad Capital",3,5 Marla,For Sale,3,4 weeks ago,"Brand new beautiful house is available for sale. 3 bedrooms, Attached Bathrooms, Drawing Dining, 2 Tv Lounge , Kitchen, Servant Quarter, Terrace, 1 Car Parking Area In Car PorchBest Of Best Material Used, Imported Fittings And Solid Wood Work. On Prime Location. Size : 5 MarlaPrice : 1. 35 Crore. For More Details Please Feel Free To Contact Us.", Parking Spaces: 1," Bedrooms: 3 , Bathrooms: 3 , Drawing Room , Dining Room , Lounge or Sitting Room", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service", ,super hot,Islamabad-3-2,3/31/2019 23:13
31,Brand New 1 Kanal House Is Available For Sale In Sector D Dha Phase 2  Islamabad,"DHA Phase 2 - Sector D, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,1 day ago,Beautifully Designed & Constructed House In The Heart Of Dha Phase 2 Islamabad. Best Of Best Material Used In Kitchen & Bath Fittings. Solid Wood Works- 5 Bedrooms - Attached Bathrooms- Powder Room- 2 TV Lounge - 2 Drawing Dinning - Lawn Green Lawn - Huge Car porch For 4 Car Parking Space- On Prime Locations Of Dha Phase 2- Best Opportunity For InvestmentFor More Details Please Feel Free To Contact Us," Built in year: 2018 , Parking Spaces: 4 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi", ," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-2,3/31/2019 23:13
32,10 Marla House Available For Sale In Sector A Bahria Enclave Islamabad,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.65 Crore,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,For Sale,5,1 day ago,"10 Marla house available for sale in sector A bahria enclave Islamabad5 bed with attached bath,D/D,TV lounge,kitchen, servant,Quarter. Near to main Entrance,Children park,Mosque. All basic facilities are available. Available at reasonable price. For any information please contact"," Built in year: 2018 , Parking Spaces: 2"," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2", , , , ,super hot,Islamabad-3-2,3/31/2019 23:13
33,Stylish 1Kanal House For Sale In Bahria Town,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.8 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 days ago,"Excellent interior and exterior. Nicely build 1 kanal house. 5 beds, double storey. Ground floor 2 bedroom with attach baths. Drawing and dining room, T. v lounge, powder room and kitchen. Car porch of 3 cars. Most beautiful entrance. 1st floor: 3 bed attach baths, drawing room, T. v lounge, kitchen, balconies and terrace. Servant quarter with bath. Imported fittings and fixtures. For more options contact US."," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",super hot,Islamabad-3-2,3/31/2019 23:13
34,Luxurious Bungalows For Sale In DHA 2,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.95 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 days ago,"1 Kanal Bungalow with same design & Specs in DHA phase 5 as low as Rs. 420,00,000-5 Bedroom with Master Bed & Bath-Electric fireplaces & heaters-Italian Kitchen-Spanish tiles-Concealed Taps & Commodes -Turkish Wardrobes-Ashwood Doors-1. 6 mm Chawla Aluminum-2 Servant quarters with Kitchen & Bath-Roof treatment with a guarantee of 10 degrees differencefor more info contact at "," Built in year: 2018 , Parking Spaces: 2 , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 3 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",super hot,Islamabad-3-2,3/31/2019 23:13
35,House Is Available For Sale on ideal location of Islamabad,"PHAF Officers Residencia, Kuri Road, Islamabad, Islamabad Capital",House,PKR   2 Crore,"Kuri Road, Islamabad, Islamabad Capital",4,14 Marla,For Sale,4,2 days ago,"If you are looking for a beautiful 3200  Square Feet House for sale in  Kuri Road ,  Islamabad , please feel free to call us. We have exactly what you are looking for.  The House has 4 bed,dring ,dining ,kitchen, separate servant quarter,  car porch 2 car place It has 4 bath featuring all the necessary facilities and accessories. The House is available for Rs 18500000. If you want further details, please call us and mention Zameen. com when calling.", ," Bedrooms: 4 , Bathrooms: 4", , , , ,super hot,Islamabad-3-2,3/31/2019 23:13
36,High Quality 1Kanal House For Sale In DHA 2 Islamabad,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.35 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,3 days ago,"Don't miss the chance to buy this stunning 1 Kanal bungalow located in one of the best locations of Defence 2 . It has easy access to GT Road and Islamabad Expressway giving buyers easy access to all surrounding areas. The property comprises of five spacious bedrooms and six bathrooms, living space, dining area and kitchen. This amazing property will be ideal for you to raise a family in while taking advantage of the excellent facilities this gated development has to offer. The amenities include schools, hospitals, restaurants and malls. This house features :The overall houses is decorated with branded fittings1 Living rooms2 Stylish kitchens5 Spacious bedrooms6 Luxury bathrooms1 Drawing room1 Dining room 1 Store room2 Servant room with attached bathEntrance lobby with stairsIndoor Green TerraceParking space for 3 carsFor more options and visit please contact us."," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2"," Broadband Internet Access , Satellite or Cable TV Ready", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms)", ,hot,Islamabad-3-2,3/31/2019 23:13
37,1 Kanal Amazing House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,3 days ago,"Excellent interior and exterior. Nicely build 1 kanal, House For Sale. 6-Luxury bedrooms, 7-Washroom,Drawing and dining room, T. v lounge, powder room and American kitchen. Huge Car porch. Most beautiful entrance. Imported fittings and fixtures in all washroomsIt is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Near Shopping Mall, Parks, Hospital and SchoolContact Us For More Details"," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-2,3/31/2019 23:13
38,House Is Available For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   6.5 Crore,"F-10, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,3 hours ago,"F-10 - 512 Sq Yards House5 BedroomOld HouseBack Side Park, Two Gates, Main Location. Urgent For Sale. Asking Price Only. 65000000/-More Detail Please Contact", ," Bedrooms: 5 , Bathrooms: 5", , , , ,hot,Islamabad-3-2,3/31/2019 23:13
39,New House Is Available For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   14 Crore,"F-10, Islamabad, Islamabad Capital",6,2 Kanal,For Sale,6,3 hours ago,"New House Is Available For SaleSize: 1000 Sq yards  6 bed room single unit house with two kitchen, two servant quarter, lash green Lawn, main location urgent for saleAvailable at Reasonable PriceCall Us For More Details.", ," Bedrooms: 6 , Bathrooms: 6 , Drawing Room , Dining Room", , , , ,hot,Islamabad-3-2,3/31/2019 23:13
40,House Is Available For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   10.5 Crore,"F-10, Islamabad, Islamabad Capital",8,1.5 Kanal,For Sale,8,3 hours ago,"House Is Available For SaleCorner houseBest living optionBeautiful locationPrime and Peaceful LocationBedroom with attach bath Stylish kitchenT. V loungeD/Dwith lash green lawn,Car parking Available at Reasonable PriceCall Us For More Details."," Built in year: 2018 , Parking Spaces: 5 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3"," Bedrooms: 8 , Bathrooms: 8 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Steam Room , Lounge or Sitting Room , Laundry Room", ," Sauna , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-2,3/31/2019 23:13
